         4       451

Path index:         1
        49
 -0.258642049419E-18 -0.115336558476E+01 -0.686828937816E+00
 -0.258642049419E-18 -0.112972979891E+01 -0.668353288243E+00
 -0.279618642019E-18 -0.110613205755E+01 -0.649829071586E+00
 -0.303695352297E-18 -0.108255235986E+01 -0.631281892370E+00
 -0.324677808366E-18 -0.105898611627E+01 -0.612717621231E+00
 -0.344003242485E-18 -0.103543308923E+01 -0.594136584736E+00
 -0.362447158873E-18 -0.101189277819E+01 -0.575539440974E+00
 -0.380361176826E-18 -0.988364734579E+00 -0.556926779586E+00
 -0.397921241705E-18 -0.964848621082E+00 -0.538299047411E+00
 -0.415227806024E-18 -0.941344169247E+00 -0.519656602722E+00
 -0.432347250790E-18 -0.917851127855E+00 -0.500999780749E+00
 -0.449330760019E-18 -0.894369220502E+00 -0.482328947156E+00
 -0.466224031860E-18 -0.870898112310E+00 -0.463644539747E+00
 -0.483073129072E-18 -0.847437382871E+00 -0.444947102110E+00
 -0.499928781693E-18 -0.823986503330E+00 -0.426237311925E+00
 -0.516850268610E-18 -0.800544816522E+00 -0.407516005357E+00
 -0.533909505979E-18 -0.777111519671E+00 -0.388784198218E+00
 -0.551195755864E-18 -0.753685649140E+00 -0.370043104604E+00
 -0.568821281044E-18 -0.730266066128E+00 -0.351294154459E+00
 -0.586928239436E-18 -0.706851440905E+00 -0.332539013145E+00
 -0.605697078354E-18 -0.683440231008E+00 -0.313779608807E+00
 -0.625356565889E-18 -0.660030645433E+00 -0.295018177539E+00
 -0.646195194304E-18 -0.636620581714E+00 -0.276257342892E+00
 -0.668572588535E-18 -0.613207515217E+00 -0.257500255773E+00
 -0.692926845993E-18 -0.589788310152E+00 -0.238750833537E+00
 -0.719767576680E-18 -0.566358912585E+00 -0.220014149475E+00
 -0.749631492599E-18 -0.542913890053E+00 -0.201297020463E+00
 -0.782953608224E-18 -0.519445839896E+00 -0.182608772235E+00
 -0.819774921688E-18 -0.495944892272E+00 -0.163961910280E+00
 -0.859203943097E-18 -0.472399016352E+00 -0.145371812723E+00
 -0.898697891955E-18 -0.448796482680E+00 -0.126853702553E+00
 -0.933677115987E-18 -0.425131470719E+00 -0.108415502834E+00
 -0.958382455579E-18 -0.401410479165E+00 -0.900493775023E-01
 -0.968063784369E-18 -0.377653262411E+00 -0.717301348302E-01
 -0.960815884129E-18 -0.353885735045E+00 -0.534242712094E-01
 -0.937562456960E-18 -0.330131071775E+00 -0.351017175407E-01
 -0.900788309883E-18 -0.306405374325E+00 -0.167416717747E-01
 -0.853341227242E-18 -0.282717777360E+00  0.166750392676E-02
 -0.797805204930E-18 -0.259072119665E+00  0.201305175530E-01
 -0.736298555199E-18 -0.235468559123E+00  0.386473188362E-01
 -0.670461666841E-18 -0.211904937904E+00  0.572149184397E-01
 -0.601509801286E-18 -0.188378044970E+00  0.758290342901E-01
 -0.530312858484E-18 -0.164884623734E+00  0.944853779463E-01
 -0.457489432329E-18 -0.141421739260E+00  0.113180111219E+00
 -0.383490066981E-18 -0.117986582919E+00  0.131909591919E+00
 -0.308637053178E-18 -0.945769128742E-01  0.150670917788E+00
 -0.233139268825E-18 -0.711925490259E-01  0.169463776204E+00
 -0.157149318941E-18 -0.478344210484E-01  0.188289233898E+00
 -0.807675108056E-19 -0.245066390983E-01  0.207152282148E+00

Path index:         2
        10
 -0.258642049419E-18 -0.115336558476E+01 -0.686828937816E+00
 -0.258642049419E-18 -0.117700137061E+01 -0.705304587389E+00
 -0.237185734673E-18 -0.120068279769E+01 -0.723721699309E+00
 -0.210238217962E-18 -0.122439300891E+01 -0.742101739679E+00
 -0.185883297604E-18 -0.124812758973E+01 -0.760450300203E+00
 -0.162828302463E-18 -0.127188590592E+01 -0.778768116986E+00
 -0.140268543963E-18 -0.129566575642E+01 -0.797057969649E+00
 -0.117868402430E-18 -0.131946449878E+01 -0.815323233455E+00
 -0.954932920087E-19 -0.134327970494E+01 -0.833567025702E+00
 -0.730947074173E-19 -0.136710942465E+01 -0.851791856525E+00

Path index:         3
        10
  0.146985127911E-15  0.115336558476E+01 -0.686828937816E+00
  0.146985127911E-15  0.117700137061E+01 -0.705304587389E+00
  0.149798621237E-15  0.120068279769E+01 -0.723721699309E+00
  0.153276211688E-15  0.122439300891E+01 -0.742101739679E+00
  0.156316911155E-15  0.124812758973E+01 -0.760450300203E+00
  0.159101739541E-15  0.127188590592E+01 -0.778768116986E+00
  0.161749849065E-15  0.129566575642E+01 -0.797057969649E+00
  0.164317359124E-15  0.131946449878E+01 -0.815323233455E+00
  0.166832203571E-15  0.134327970494E+01 -0.833567025702E+00
  0.169309422929E-15  0.136710942465E+01 -0.851791856525E+00

Path index:         4
        49
  0.146985127911E-15  0.115336558476E+01 -0.686828937816E+00
  0.146985127911E-15  0.112972979891E+01 -0.668353288243E+00
  0.143973475829E-15  0.110613205755E+01 -0.649829071586E+00
  0.140480950154E-15  0.108255235986E+01 -0.631281892370E+00
  0.137378592256E-15  0.105898611627E+01 -0.612717621231E+00
  0.134470926631E-15  0.103543308923E+01 -0.594136584736E+00
  0.131654640775E-15  0.101189277819E+01 -0.575539440974E+00
  0.128884888858E-15  0.988364734579E+00 -0.556926779586E+00
  0.126140953510E-15  0.964848621082E+00 -0.538299047411E+00
  0.123412636445E-15  0.941344169247E+00 -0.519656602722E+00
  0.120694783443E-15  0.917851127855E+00 -0.500999780749E+00
  0.117984904702E-15  0.894369220502E+00 -0.482328947156E+00
  0.115282061592E-15  0.870898112310E+00 -0.463644539747E+00
  0.112586316282E-15  0.847437382871E+00 -0.444947102110E+00
  0.109898453095E-15  0.823986503330E+00 -0.426237311925E+00
  0.107219843276E-15  0.800544816522E+00 -0.407516005357E+00
  0.104552394256E-15  0.777111519671E+00 -0.388784198218E+00
  0.101898556376E-15  0.753685649140E+00 -0.370043104604E+00
  0.992613758149E-16  0.730266066128E+00 -0.351294154459E+00
  0.966445907645E-16  0.706851440905E+00 -0.332539013145E+00
  0.940527719456E-16  0.683440231008E+00 -0.313779608807E+00
  0.914915086861E-16  0.660030645433E+00 -0.295018177539E+00
  0.889676349907E-16  0.636620581714E+00 -0.276257342892E+00
  0.864894682138E-16  0.613207515217E+00 -0.257500255773E+00
  0.840669772548E-16  0.589788310152E+00 -0.238750833537E+00
  0.817116684584E-16  0.566358912585E+00 -0.220014149475E+00
  0.794357039979E-16  0.542913890053E+00 -0.201297020463E+00
  0.772492573770E-16  0.519445839896E+00 -0.182608772235E+00
  0.751544026709E-16  0.495944892272E+00 -0.163961910280E+00
  0.731336919002E-16  0.472399016352E+00 -0.145371812723E+00
  0.711346152000E-16  0.448796482680E+00 -0.126853702553E+00
  0.690606422407E-16  0.425131470719E+00 -0.108415502834E+00
  0.667884158840E-16  0.401410479165E+00 -0.900493775023E-01
  0.642139557292E-16  0.377653262411E+00 -0.717301348302E-01
  0.612927127330E-16  0.353885735045E+00 -0.534242712094E-01
  0.580407252758E-16  0.330131071775E+00 -0.351017175407E-01
  0.545084454055E-16  0.306405374325E+00 -0.167416717747E-01
  0.507552137340E-16  0.282717777360E+00  0.166750392676E-02
  0.468355340421E-16  0.259072119665E+00  0.201305175530E-01
  0.427943920472E-16  0.235468559123E+00  0.386473188362E-01
  0.386667506068E-16  0.211904937904E+00  0.572149184397E-01
  0.344785827695E-16  0.188378044970E+00  0.758290342901E-01
  0.302485577821E-16  0.164884623734E+00  0.944853779463E-01
  0.259899746337E-16  0.141421739260E+00  0.113180111219E+00
  0.217123820435E-16  0.117986582919E+00  0.131909591919E+00
  0.174224937096E-16  0.945769128742E-01  0.150670917788E+00
  0.131249630701E-16  0.711925490259E-01  0.169463776204E+00
  0.882352492430E-17  0.478344210484E-01  0.188289233898E+00
  0.452178880858E-17  0.245066390983E-01  0.207152282148E+00
