         4       451

Path index:         1
        49
 -0.164950239974E-18 -0.114864264923E+01 -0.706573660215E+00
 -0.164950239974E-18 -0.112508524031E+01 -0.687998179461E+00
 -0.175781836336E-18 -0.110156920755E+01 -0.669370345366E+00
 -0.184944449190E-18 -0.107807567348E+01 -0.650714143802E+00
 -0.192634749550E-18 -0.105460712861E+01 -0.632026516830E+00
 -0.199249370324E-18 -0.103116529110E+01 -0.613305398966E+00
 -0.204944724591E-18 -0.100775103840E+01 -0.594549792589E+00
 -0.209793427824E-18 -0.984364699480E+00 -0.575759392067E+00
 -0.213841557920E-18 -0.961006133368E+00 -0.556934478011E+00
 -0.217129776215E-18 -0.937674767300E+00 -0.538075863073E+00
 -0.219701537681E-18 -0.914369638592E+00 -0.519184834093E+00
 -0.221606157527E-18 -0.891089445522E+00 -0.500263084422E+00
 -0.222899756543E-18 -0.867832601136E+00 -0.481312644078E+00
 -0.223645449219E-18 -0.844597282666E+00 -0.462335816746E+00
 -0.223913429584E-18 -0.821381471874E+00 -0.443335129146E+00
 -0.223781252917E-18 -0.798182985048E+00 -0.424313294088E+00
 -0.223334434535E-18 -0.774999493516E+00 -0.405273185885E+00
 -0.222667427959E-18 -0.751828535779E+00 -0.386217826598E+00
 -0.221885064643E-18 -0.728667520988E+00 -0.367150383302E+00
 -0.221104600749E-18 -0.705513721072E+00 -0.348074179554E+00
 -0.220458589156E-18 -0.682364246072E+00 -0.328992727638E+00
 -0.220098838948E-18 -0.659215994611E+00 -0.309909791430E+00
 -0.220201678321E-18 -0.636065569250E+00 -0.290829492544E+00
 -0.220974471736E-18 -0.612909145757E+00 -0.271756473615E+00
 -0.222662573579E-18 -0.589742288698E+00 -0.252696129075E+00
 -0.225554029073E-18 -0.566559720238E+00 -0.233654896983E+00
 -0.229975236810E-18 -0.543355091022E+00 -0.214640555476E+00
 -0.236262885640E-18 -0.520120902138E+00 -0.195662345157E+00
 -0.244685455745E-18 -0.496848922939E+00 -0.176730494108E+00
 -0.255279392395E-18 -0.473531711662E+00 -0.157854380677E+00
 -0.267591627049E-18 -0.450165855231E+00 -0.139038516273E+00
